,detail
6961,Diese Abfälle liegen schon seit zwei Wochen herum
6967,Immer seebach birchstrasse 410-424
6968,Abfall auf dem Platz/Trottoir.
6970,"Immer wieder Abfall auf Trottoir, jede Woche neuen Abfall was nicht zur Kartonsammlung oder Papiersammlung gehört. "
6973,Auf Strasse entsorgter Grünabfall. 
6976,Alle paar Monate stellt irgendein Mitmensch leere Flaschen in Tragtaschen neben die Container. Diese stehen seit Anfang Woche da. gleichzeitig stand eine Tasche vor unserm Haus. Jene Flasche fotographierte und entsorgte ich.
6977,"Karton liegt seit x wochen an dieser stelle, allgm wird dieser kl gruene fleck als abfall depot gerne und zu oft genutzt!"
6978,"Hier liegt etwas Abfall in der Böschung rum, auch Glasflaschen im Gras, könnte man mal aufnehmen."
6979,Beim Letzibad steht seit längerer Zeit ein Oranges Herrenfahrrad ohne Sattel und Hinterrad . Bitte Entfernen
6986,Veloleiche. Ohne Pneus ohne Sattel ohne Schloss.
6987,Stinkender Abflussschacht
6991,Abfall
6992,Altes Fahrrad hängt an Signaltafel.
6996,Diverse Plastiksäcke mit Kleidern sowie Schlafsäcke
6999,"Hinter die Shell-Tankstelle bei den SBB-Strommasten gehört dringend ein Abfallkorb hin, da dort jeder sein Abfall auf den Betonpfeiler dieser SBB-Strommasten legt und ja das ist noch auf der Stadt Zürich-Seite..."
7001,Grosser Drucker einfach im Wald entsorgt
7004,"Ueberfüllter Abfallkübel,Abfall liegt auch auf dem Boden ."
7010,Wohnzimmer Möbel auf dem Trottoir . Danke
7013,Kaputter Korbstuhl. <br/>  <br/> Ich wünsche e guets Nöis.
7016,Wiederholt sehr viel Abfall neben der Kleidersammlung. Vielleicht sollten Sie den Container entfernen.
7017,Wieder glauben einige diese sei eine Sammelstelle
7018,Umzug und Ware auf der Straße entsorgt...
7022,Vermehrt wird vor den Abfalltonnen Littering betrieben. Hier wären Kameras hilfreich!
7025,WiederMal illegal entsorgt
7027,Mindestens einmal die Woche 4 Abfallcontainer auf dem Velostreifen.
7034,Auch im neuen Jahr schon wieder illegal entsorgter Abfall zwischen Tièchestrasse 7 und 21 siehe Foto. Besten Dank für das Aufräumen. Freundliche Grüsse
7039,Aufgerissene Abfallsäcke
7045,Die Couch etc...... Ist immer noch da !
7057,Illegale Müllentsorgung
7062,Altes Velo an Strasse
7069,Illigal entsorgte Sofas
7071,Vermutlich gestohlenes Velo liegt am Dammweg im Gras.
7075,"Grüezi <br/>  <br/> An der Weite Gasse 3 wurden seit gestern Donnerstag, die vor 07:00 Uhr, herausgestellten Zeitungen nicht abgeholt. <br/>  <br/> Danke, "
7081,Können hier bitte mal Kameras angebracht werden odee immerhin Attrappen?
7082,"Trottoir vereist in der unterwerkstrasse. die parallelstrassen erhalten zweckmässigen winterdienst, weshalb wird dieser der unterwerkstrasse IMMER verweigert?"
7090,Bei allen Papierkörben am Panoramaweg zwischen Friesenbergstrasse und Hohensteinweg hat es praktisch keine Robidog-Säcke mehr. Bei den Haifisch-Papierkörben sieht man es nicht.
7095,Split?
7096,Unschön über's Wochenende - zum wiederholten Mal...
7097,Littering seit 10 tagen hier
7101,Hier stehen zwei kaputte Velos rum.
7102,Hier beim Schanzengraben hats auf der Mauerseite Abfall in den Pflanzeninselchen. Es ist eigentlich der ganzen Mauer entlang bis zur Sihlstrasse.
7107,"Erneuter Hinweis: Die städt. Überbauung Limmatstrasse mit Apotheke & Altersheim wird extrem schlecht gewartet! Insbesondere die Rabatten sind stark von Littering aller Art verschmutzt! Ich habe schon mehrmals darauf hingewiesen.. die Abwärte & die Bewohner scheint es nicht zu stören.. Ich finde es aber absolut unhaltbar! Ich hoffe sehr, sie unternehmen etwas Dauerhaftes!! Herzlichen Dank & Grüsse"
7124,"Hier hats viel Müll in der Böschung, wäre gut hier mal sauber zu machen."
7125,"Hier bei den bepflanzten Baumscheiben an der Ecke Grüngasse, Cramerstrasse hat viel Müll drinn, man sollte es reinigen bevor die Sträucher austreiben."
7128,Entlang der Strasse nach Gockhausen liegt überall Abfall rum. Redbull Dosen etc.
7130,Diverser Siedlungsabfall bei Sammelstelle deponiert.
7132,Der Karton liegt nun schon seit rund einer Woche auf der Strasse.
7136,"Rabatte zwischen Hospiz, Konradstrasse 79, & Schule ist wieder stark verschmutzt. Herzlichen Dank für ihre Mühe!!"
7142,"Seit einer Woche Abfall auf dem Trottoir, durch Wind mittlerweile auch über Strasse verteilt"
7154,"Grüezi Hier stehen immer Velos, die nicht in den Veloständern versorgt werden, obwohl es genügend Platz hat dort . Ich rege ein Veloparkverbot an. Der Platz ist sonst schon knapp und sollte nicht noch durch parkierte Velos verengt werden. Danke, dass Sie sich dem Problem annehmen. "
7155,Einkaufswagen mit Staubsauger steht auf Velo/Motorrad Parkplatz
7167,Wieder illegal entsorgter Abfall zwischen Tièchestrasse 21 siehe Foto. Besten Dank für das Aufräumen. Freundliche Grüsse
7181,"In der Half-Pipe, auf der linken Seite, befinden sich hinter der aufklappbaren Türe diverse Schlafsäcke und Abfall."
7189,Zwei Einkaufswagen mit Müll auf dem Trottoir/Grünstreifen von Unbekannt platziert.
7194,Kleiderschrank gelittert!
7198,"Guten Tag, ein Strassenschild liegt seit einigen Tagen in der Sihl. Etwa 60 Meter unterhalb der Maneggbrücke, 3 m vom linken Ufer entfernt."
7202,Illegaler abfall
7205,Ein illegal entsorgter hängeregister-korpus in der einfahrt stört.
7207,Roller ohne Nummerschild. Seit ca. 4 Jahren steht dieser Roller am gleichen Platz.
7210,"Matratze auf ""Podest"". Besten Dank für Ihre Bemühungen. "
7211,Metallsammelbehälter quilt über...
7218,Der Schachtdeckel beim Zebrastreifen ist verstopft und das Regenwasser kann da nicht mehr ablaufen.
7219,Kellerware?
7221,Das Kaputte Fahrrad ist seit ca. 4 monaten schon hier angekettet und nicht bewegt worden.
7223,Viele Glasscherben liegen neben Container auf dem Trottoir und in der Wiese.
7225,Abfallberg
7229,"Bei jeder Kartonsammlung bleibt jenes Müll liegen ( Kein Karton ) jetzt liegen teile dieses Abfalls sogar ein Haus weiter verteilt in der Siedlung rum. Ich weiss auch nicht was diese Person denkt, aber hier sollte man mal besser hinschauen, und eine solche Person mit einer Busse bestrafen, sonst stelle ich auch bald mein Abfall in die Kartonsammlung ( wofür geld für Zürisäcke ausgeben ). Jedoch habe ich das Gefühl es intressiert niemanden. Mit freundlichen Grüßen Besorgter Stadt Zürcher"
7240,Wiederholt illegale Deponie von Kehricht- & Zürisäcken. Diese liegen bereits über 1 Woche direkt neben dem Hauseingang Nr. 3.
7247,Sofa illegal entsorgt
7252,Sideboard vor Schulhaus Zurlinden stationsstrasse 48 deponiert
7253,"Gulli verstopft, Velostreifen unter Wasser"
7257,"Oberhalb der Liegenschaft Bucheggstrasse 41 an der Tiechestrasse, hat jemand Müll entsorgt"
7260,Spontane Müllhalde unter dem Viadukt gleich vei Röntgenwiese... Ist wirklich ein Problem an dieser Strasse :(
7262,"Fritz Heeb Weg ist wegen Vereisung sehr rutschig. Da es sich um einen Schulweg handelt, wäre es sinnvoll diesen bei entsprechendem Wetter morgens rechtzeitig und gründlich zu salzen."
7266,Vor dem Haus Pflanzschulstrasse 57 steht seit Monaten ein farbiges Fahrrad ohne Sattel mit zwei platten Reifen. Das Fahrrad ist an gewissen Tagen am Zaun angelehnt und steht oder liegt an anderen Tagen zwischen den Fahrradständern.
7268,Zwischen den Stromkästen sammelt sich Abfall an.
7269,Sperrmüll zum wiederholten Mal an der Haltestelle abgeladen. Es ist ständig vermüllt.
7271,Da wo die Josefstrasse unter dem Bahnviadukt durch geht hat sich eine illegale Müllhalde gebildet
7275,Verwarlostes Fahrrad
7276,Einkaufswägeli
7277,Verwahrlostes Velo
7279,Illegal entsorgter Fernseher
7282,"Hier steht ein rostiges Töffli ohne Nummer und es fehlen andere Teile, es ist zwar abgeschlossen. Ich glaube aber man kann es entsorgen."
7285,Leute haben immer Ohne respekt alte haushalt und alte möbel abfall deponieren. Diese Abfal war hier zeit 3 woche .Danke.
7288,Offensichtlich defekte fahrräder am abhängen auf einem verkehrsschild... seit monaten platt und vor sich hin rostende fahrräder im öffentlichen raum: jetzt sind sie abgehoben.
7289,Da hat jemand seinen ganzen Schrank auf der Strasse entsorgt
7298,Hier steht immer Müll
7305,"Grosser Abfallhaufen in Baumscheibe, etwas weiter vorne Ecke Pflanzschulstrasse wurde noch ein Radio deponiert. Besten Dank für das promte entfernen."
7306,Verwahrlostes Velo
7307,"Defektes Velo, es steht schon geraume Zeit da."
7308,Abfall an der Kanzleistrasse es hat noch mehr als schon gemeldet.
7309,Verwahrlostes Velo
7311,Verwahrlostes Velo
7312,"Defektes Velo, steht hier schon lange rum und stört."
7313,Hier hängt noch ein defektes Velo im Zaun.
7323,Abfallsammlung beim Brunnen
7324,"Im Bereich der verschobenen Bushaltestellen auf der Hardbrücke liegen von Tag zu Tag mehr Zigarettenstummel herum. Leider befinden sich in diesem Bereich keine Entsorgungsmöglichkeiten (wobei ich bezweifle, dass dies die Gewohnheiten der Raucher ändern würde)"
7334,"Hier bei dem Pärkli, weiss nicht ob das von der Stadt unterhalten wird, hats mehrere übervolle Abfallkübel, sicher mehrere Wochen nicht geleert. Und es hat auch Abfall auf der Wiese. Kein Originalbild, sieht aber etwa so aus."
7335,Diverse Farbkessel auf die Strasse bzw. in den Container gestellt!
7336,Seit vielen Wochen steht ein Velo mit violettem Rahmen unangekettet vor Haus Nidelbadstrasse 21. Scheint gestohlen zu sein.
7337,Verwahrlostes velo unter brücke
7338,Abfall überall
7339,Abfälle überall
7340,Abfälle überall wo sind die Abfallkübel?
7342,"Gegenüber der Gleis, wie aufgezeigt, gibt es eine riesige Menge Abfall. Es sieht aus es ist dort seit lange geblieben."
7346,Mülldeponie (va Karton)
7347,Illegaler Sperrmüll
7349,"8050 Zürich, Opfikonstrasse, Altglassammelstelle bei der VBZ-Endhaltestelle Auzelg-Ost. Grosses, rotfarbenes Sofa offenbar zu Entsorgung auf öffentlichem Grund abgelagert. Daneben einges an Kleinmaterial zwischen den Altglascontainer deponiert."
7354,"Abfall am Strassenrand. Büchsen, Zigarettenschachteln, Der übliche Graus."
7357,Velo fast in der Limmat.
7358,"Beim Veloständer rechts vom Eingang Bhf. Hardbrücke liegt sehr viel Abfall, inkl. viele Glasscherben. Danke fürs (regelmässige) Wegräumen!!"
7360,Bügelbrett illegal deponiert
7361,"Littering, Verwaltung droht uns die Entsorgungskosten in die Nebenkosten zu nehmen wenn das Littering nicht aufhört. Hat aber schon wieder angefangen. Zwar jetzt nur mit Karton und wenig Sperrgut, aber Kartonsammlung ist am 5. April! Heute ist 22. März!  Danke"
7362,"Hallo. Letzten SA od. SO (19./20.März) muss ein ERZ Reinigungs Fahrzeug diese Schäden verursacht haben. Etwas anderes ist kaum vorstellbar, die Spuren sind ziemlich eindeutig und weisen auf Ölverlust hin. Die Spuren ziehen sich wohlgemerkt vom Hegibachplatz hinunter über Kreuzplatz, Stadelhofen bis Bellevue! Ob es oberhalb Hegibachplatz Verschmutzungen gibt entzieht sich meiner Kenntnis. Der Fahrer muss oder müsste es aber gemerkt haben - er hat ja gewendet! Es ist ein unglaublich großflächige Verschmutzung und mir unverständlich, wie dies passieren kann! Ich erwarte vollständige Entfernung von all diesen Flächen. Nicht warten auf Regen. Es ist eine ölhaltige Lösung! Das löst sich nicht von selbst nur mit Wasser. Besten Dank für ein sauberes Quartier!"
7367,"Es wurde schon mal gemeldet, es sind jetzt hunderte Zigarettenstummel !!!"
7376,Ein kaputtes Fahrrad steht auf dem Weg im Weg !
7379,Siedlungsabfälle
7380,Guten Tag Wahrscheinlich wegen des schönen Wetters am Samstag quillt dieser Mülleimer über. Herzlichen Dank für's darum Kümmern.
7382,Matratze & Kissen
7385,Könnem hier bitte Kameras installiert werden um das Littering zu vermeiden?
7388,Illegale Deponie
7390,8 Matratzen auf dem Trottoir deponiert/entsorgt
7393,Bei der Abfahrt in die Unterführung liegen seit mehreren Tagen Scherben auf der Velospur. Bitte reinigen!
7394,"Guten Tag! Einmal mehr: Die Überbauung Limmatstrasse 180-84 mit Apotheke & Altersheim wird extrem schlecht gewartet! Warum werden die Bewohner nicht miteinbezogen, wenn die Abwarte nicht fähig sind? Warum werden nicht mehr Massnahmen ergriffen? Warum arbeiten Apotheke oder Altersheim nicht zusammen für mehr Sauberkeit in den Rabatten, und zwar in allen rundherum!!? Herzlichen Dank für ihre Mühe! S.B."
7395,Autoabstellplatz nach dem Viaduktareal vor der neu eröffneten Galerie (früher Quartierbeiz) ist total mit Abfall übersät. Danke herzlich für Säuberung!
7402,Sperrmüllhaufen auf dem Trottoir.
7404,ERZ Wischfahrzeug leckte öl oder Petrol von hier bis zum Bahnhof Stadelhofen...
7405,Glasscherben auf der Hardturmsteg seit Osternmontag.
7409,"Abfälle im Schanzengraben. Nicht schlimm, aber unschön."
7410,Grünabfuhr container völlig überfüllt und mit Abfall umzingelt
7412,Einkaufswägeli mit Abfall
7420,Jemand lagert Sperrgut hier ab.
7421,Umzug. Mit Sperrgutentsorgung? Im Halteverbot.
7422,Birchstrasse 410-422 Seebach
7424,Altes Möbelstück liegt bereits seit ca. 10 Tagen am Anfang der Strasse In der Ey.
7428,Karton nicht abgeholt
7436,Altes Möbel deponiert worden
7440,Abfallsäcke am Strassenrand deponiert.
7448,Abfall (Holzpalette)
7451,"Zürich 2, Forellenweg, Parkplatz der Hafenanlage Seerose, grossflächige Verschmutzung durch Glassplitter, Gefahr der Beschädigung der Reifen der parkierten Fahrzeuge."
7454,Entsorgung der Abfälle. Skaterpark Kornhausbrücke.
7457,Es liegt Abfall vor dem städtischen Hort.
7459,"Vor dem Haus Nr. 64, steht seit Monaten auf dem Trottoir ein grosser Abfallcontainer, der die Schnee- und Putzarbeiten, so wie den Fussgänger, speziell Familien mit Kinderwagen, behindert. Jetzt ist ein zweiter dazu gekommen, was die Situation nicht verbessert."
7462,"Es war von Anfang an offensichtlich dass das Kies des Spielplatz mehr auf dem Fussgänger-und Veloweg sein wird als auf dem Spielplatz, da es keinerlei Abgrenzung dazwischen hat. In letzter Zeit scheint es auch so dass der Weg überhaupt nicht mehr geputzt wird. Speziell für inlineskater wie mich, sind die Kieselsteine sehr gefährlich und es nützt auch wenig, wenn man es weiss. Die Räder blockieren blitzartig und die Verletzungen werden durch die Kieselsteine noch gefährlicher. Bei der aktuellen Menge sind sogar Velofahrer oder Scooterfahrer gefährdet speziell Kinder"
7468,Seit ca. 1.5 Wochen gehe ich jeden Tag an diesem Haufen vorbei.
7470,"Holzabfall, Türe, Kästchen"
7471,Velo(diebstahl)leiche. Gestern lag es mit Rädern daneben noch auf dem Grundstück Witikonerstr. 24.
7473,"Hier stehen (mittlerweile liegen) seit ein paar Wochen zwei Velos, angekettet an einen Strassenpfahl. Gefährlich nah an der Strasse inzwischen."
7476,Abfalleimer überläuft und stinkt
7484,Falscher Abfall!!
7488,Das soeht hier immer so aus :(
7491,"Wenn ich aus dem Ausland zurück komme, habe ich immer das Gefühl, dass es in der Schweiz dreckiger sei, als im Rest der Welt!"
7497,"Seit mehreren Tagen steht ein defekter, herrloser Einkaufshandwagen der Möbelfirma 'IKEA' an der Örtlichkeit."
7498,Sperrgut steht schon 2 wochen da.
7499,Selbstssprechend
7505,"""Mikro""-Littering ist im Kreis 5 (Bsp. Achse Bhf Wipkingen - Josefwiese immer ein grosses Thema. Insbesondere Abfall in Grünflächen bleibt der Abfall lange liegen.. Freundliche Grüsse S. Zollinger"
7509,"Metallgestänge und Röhren, mit Sack, deponiert seit Wochen, in 8044 Zürich, Sagentobelweg, Koordinate 686648/249206, im Unterholz, wenige Meter vom Waldrand entfernt."
7519,Ecke Schaffhauserstrasse - Unterwerkstrasse bei Volvo Tafel ist eine illegale Abfalldeponie. Es liegen diverse Abfallsäcke dort.
7525,"Die Unterführung Bändliweg ist ziemlich dreckig, auch ist die Radstreifenmarkierung teilweise kaputt. Der Boden könnte mal gereinigt werden, auch das Licht ist etwas knapp bemessen (Lux), es ist doch etwas schummrig da unten."
7539,Defektes Velo
7540,"Containerbrand durch Unbekannt. Fall durch Stapo, RW Aussersihl, aufgenommen und rapportiert."
7544,"Hier an der Ecke wurde ein grosser, alter Fernseher deponiert."
7547,"Der Abfalleimer an dieser Stelle hat - schon seit langem -eine defekte Aufhängung, so dass der Eimer bei der geringsten Berührung aus der Halterung springt, tosend zu Boden fällt und teilweise auf die Fahrbahn kullert. Sieht schäbig aus und könnte jederzeit jemandem schmerzhaft auf den Fuss fallen. Bitte die ganze Konstruktion ersetzen."
7551,Altpapier liegt seit 14 Tagen da...
7553,Selbstssprechend
7555,Sauerei
7558,Hier wurde wild Abfall entsorgt.
7559,"Verstopfter Gulli, direkt beim Fussgängerstreifen, den könnte man mal spühlen lassen. Leider kein Originalbild, aber bin heute da vorbeigekommen."
7562,Durch unbekannt wurde dieses fahrrad ohne rahmennummer im Wald entsorgt. Abfrage bei Polizei negativ.
7570,Güsel auf Strasse... Fuchs?
7573,Abfall
7574,Abfallkübel voll
7578,Seit mehreren Tagen steht ein entsorgter Fahrradrahmen (ohne R.-Nr.; bzw. Vign.-Nr.) vor Ort. Vielen Dank
7579,Sofa 2-teilig
7582,Guten Morgen hier noch ein Beispiel seit anfangs Woche liegen diese Gegenstände im Park in der Zwischenzeit ist auch ein neuer Autopneu dazugekommen und trotzdem fahren ihre Mitarbeiter dank der Amerikanisierung also nicht mehr bezugnehmend einfach mal darüber hinweg lassen es liegen in den ich nehme nicht an das sie von Ihnen Bericht gekriegt haben dass wir das auf lesen soll es wäre nett wenn es abgeholt für heute und werde danke und wieder einmal.
7583,Teppich illegal deponiert
7584,"Es braucht dringend einen abfalleimer beim brunne,da jeden tag sehr viele leute von morgen bis am abend dort sind und den abfall immer liegen lassen."
7587,Abfall verstreut.
7588,Abfallsack von Fuchs zerlegt.
7592,"Mülleimer übergelaufen, Müll fliegt überall herum"
7596,Sauerei
7597,Kaputtes Velo
7598,Defektes Velo
7600,Aufkleber bei Abfallsammelstelle
7601,Kaputtes Velo
7604,Badenerstrasse stadtauswärts vor Kreisel Letzigrund: Velostreifen auf ca. 20 m voller Glasscherben (fotografieren war nicht sinnvoll möglich)
7605,S. Foto
7606,Der Kübel ist häufig überfüllt wie abgebildet. Es braucht noch mehrere im Park.
7613,Defektes Velo
7615,Gasdruckbehälter liegt da rum.
7621,"Hier an der Bucheggstrasse hat es ein roesen Müllchaos. Die Verwaltung hat weiter oben noch ein Haus, dort sieht es auch immer wieder so aus"
7626,Wieder illegal entsorgter Abfall zwischen Tièchestrasse 21 und 23 siehe Foto. Besten Dank für das Aufräumen. Freundliche Grüsse
7628,Alle zwei Wochen das selbe Bild...
7630,Selbstssprechend
7633,Toter Marder am Strassenrand Richtung Oerlikon.
7639,Stücke Glas am Boden im Spielplatz
7644,"Abgefackeltes Fahrrad vor dem Hauseingang Fabrikstrasse 3, 8005 Zürich."
7646,Defektes Velo
7648,Autonummer im Wasser
7649,Illegal entsorgter Abfall / schon seit ca. 1 woche
7650,"Veloüberreste, bitte einsammeln."
7656,Seit ein paar Wochen liegt am Straßenrand holzabfall
7657,Hier bei dieser Haltestelle ist der Gulli verstopft und gleich daneben funktioniert die Schienenentwässserung schlecht.
7658,Abfall
7664,Container voll ! Danke
7670,Ein Aluminium-Stuhl liegt hier im Wasser.
7675,"Sonntag 11.40 Uhr, bin gerade da vorbeigelaufen und es kam dann gerade der Mitarbeiter vom ERZ in seinem kleinen Auto vorbei. Er hielt kurz an, hat sich das angesehen und ist dann ohne irgendetwas zu machen weitergefahren. Übrigens, die anderen zwei Kübel sind auch voll und sind es immer noch. <br/>  <br/> Besten Dank"
7679,Stuhl und Karton befinden sich seit Tagen auf dem Trottoir und nun auch überall verstreut wegen des Windes.
7680,"Gulli verstopft, direkt beim Fussgängerstreifen, es spritzt etwas unangenehm für die Fussgänger."
7681,Zelt am Brückenkopf Mattensteg Seite Sihlquai
7682,Leider wird an der Heinrichstrasse 120 die Einfahrt wieder einmal als Abfalldepot benutzt. Seit 2 Wochen wächst der Anfallberg stetig
7699,Abfall
7702,Herrenloses Schloss
7713,"Papier, Karton, Sperrgut und Mühl von den Mieter der Liegenschaften 339-341. Es wird immer mehr, bitte Abhilfe schaffen da er auch beim Nachbargrundstück gelagert wird."
7715,Immer illegal abfall in birchstrasse seebach
7716,"Eine kleine Mülldeponie beginnt sich zu formen, am Freitag war der Grill noch alleine."
7718,Ast auf Trottoir
7719,Strassenschild zugeklebt
7725,Nicht fahrbares Velo
7726,Sperrgut seit Wochen auf der Strasse
7727,Hier hats ein Lastenvelo und ein Einkaufswägeli.
7733,Velo
7734,Velo
7741,Defektes Velo
7742,Abfall von Übernächtiger im Landenbergpark
7747,Unrat auf Parkplatz..
7748,Defekter Fernseher und diverse Gegenstände
7753,Es sammelt sich immer mehr Abfall an.
7754,Sack nicht in Container verfrachtet? Wohl rin Fuchs der seine Freude hatte?
7756,Übervoller Abfalleimer
7757,Velo im katzenbach
7758,Sieht nach dem Werk eines Fuchses aus.
7760,Einkaufswägeli-Sammlung
7765,An Sonnentagen reichen die Abfalleimer im Hardturm Park nicht aus. Sieht unschön aus.
7775,Abfall wurde nicht abgeholt und stinkt zum Himmel
7781,Illegale Entsorgung von Abfall
7797,Permanent viele Glasscherben auf dem Velostreifen. Merci
7802,Ein Einkaufswagen liegt im Limmat etwa 1m vom Steg (unterwasser) auf die Höhe von 104 Limmatquai (8001).
7815,Defekte Velos
7818,"Velo seit mehreren Wochen nicht mehr bewegt, an Signalisation gesichert, rostige Kette, fahrbar?"
7822,Defektes Velo
7825,"Zigarettenstummel-Sammlung, interessant ist wie die da hinkommen."
7829,Grüezi Jedet Tag ist der Schwamendingerplatz verschmutzt. Das sieht sehr ungepflegt aus. Es braucht noch mehr Abfalleimer und eine Entsorgungsstation wie am HB Zürich. Kontrollen??? Wäre auch super. Oder ist das in diesem Quartier Geldverschwendung? Ich schäme mich. Meine Mutter wohnt hier... Grünstadt Schwamendingen ?Oder doch besser Abfallhalde .....
7830,Defektes Velo
7833,Brombeerhecke versperrt Hälfte des Trottoirs
7834,Textilsack an den Straßenrand seit vier Tage
7838,"Da ist ein Gulli verstopft, es gibt im Radfahrbereich immer eine grosse Lache wo man dann ausweichen muss. Habe kein Originalbild, aber bei Regen sieht man es sehr gut."
7849,Drei defekte Velos
7850,Büchergestell auf Trottoir
7851,Defektes Velo
7854,Sauerei beim Kübel
7858,"Bushaltestelle 31, Hardplatz, Richtung Schlieren <br/>  <br/> Seit einigen Tagen liegt Erbrochenes links auf der Wartebank unter der der Hardbrücke"
7861,Fahrrad seit ein paar Tagen hier mit defektem Hinterrad stehen gelassen.
7862,Defektes Velo
7867,Seit Wochen illegal deponiertes Sperrgut und Eisen
7869,Stuhl vor Elektrokasten
7872,Zwei defekte Velos
7879,Defekte Sitzbank auf Strasse
7881,Unterflurcontainer überfüllt oder verstopft.
7882,Guten Tag <br/>  <br/> Vor dem Haus häuft sich der Mist. Es wird von Tag zu Tag mehr. <br/>  <br/> Besten Dank <br/> 
7885,"Neben dem Elektrokasten steht eine Migros-Tragtasche. Gefüllt mit Pfannen und Glas (und ein Schuh). <br/>  <br/> Gegenüber, vor Rankstrasse 17, standen heute ca. 15:30 drei 100-Liter Abfallsäcke, grau. Sowie Kartonrohre."
7886,Abfall bei den Sitzbänken
7892,Dieser Spielplatz wurde sicherlich schon lange nicht mehr geputzt überall Abfall auch in der Spielzeugkiste.
7899,Sperrgut
7902,Velo seit sicher 14Tagen auf Traminsel angekettet..
7907,Abfall liegt neben der Sammelstelle. Viele Scherben am Boden.
7916,"Die Absperrung der Schanzengraben-Promenade wurde noch nicht abmontiert, obwohl das Hochwasser vorüber ist und der Weg vom HB her bereits wieder zugänglich ist."
7920,Zwei Herrenvelos ohne Vorderräder und Lenker stehen schon länger an der Fellenbergstrasse 159/161 /Gutstrasse .Bitte Entfernen. Danke.
7923,Hier liegt eine alte Matratze
7926,Migros Einkaufswagen steht seit ein paar Tagen dort.
7927,Illegale Abfallentsorgung im Wald.
7935,Wilde Abfall Deponie
7940,"""Fahrradkoffer zu verschenken"" Und ein zweiter Koffer auf der Straße."
7948,Seit einigen Monaten liegt immer mehr Sperrmüll an dieser Stelle
7949,Wieder illegal entsorgter Abfall beim Baum Tièchestr. 23 siehe Foto. Besten Dank für das Aufräumen. <br/>  <br/> Freundliche Grüsse
7954,Hier liegt ein Matratze
7955,Illegal entsorgte Lampe
7956,Sperrmüll seit rund einer Woche vor'm Haus.
7960,Abfall bei Haltestelle
7964,"Liebe Stadt Zürich! Nach drei Tagen vom Züri-Fäscht, ist der Predigerplatz noch immer vom Abfall der Stände-Betreiber bedeckt. Das ist traurig für das schöne Wohnquartier und keinen schönen Anblick für Touristen."
7969,"Die Absperrpfosten sind zum wiederholten Mal auf der Seite Feldblumenstrasse (seit mehreren Monaten) und auf Seite Spirgartenstrasse (seit ein paar Wochen) wieder entfernt. Es ist gefährlich und ärgerlich, wenn sich Autos durch den schmalen Weg ""verirren"". Bitte instruieren Sie die ERZ-Mitarbeiter, nach der Reinigung die Pfosten jeweils wieder zurückzustellen. Danke."
7971,"Dieselbetriebene Abwasser-Pumpe produziert erhebliche Geruchs- und Feinstaubbelastung. Die Pumpe läuft zwar nur relativ selten, aber wenn sie läuft hüllt sie die Umgebung in blauen Rauch und Gestank nach verbrannten Öl. Fenster können dann nicht mehr geöffnet werden."
7976,"Dieser Abhang wurde frisch geschnitten & ist teilweise übersät von zahllosen Abfällen. Der Gärtner scheint aber nicht zuständig für das Einsammeln..?? Wer dann? Die Natur als Endlager für unseren Konsumwahn?? Ich protestiere! Auch der dortige Durchgang zur Sihlstrasse ist immer voller Unrat. Da werden teuerste Gebäude errichtet, aber um die Natur rundum kümmert sich kein Mensch! Ich protestiere nochmals! Sie können es gern weiterleiten! .. Ich sammle beteits täglich viel Unrat ein. Alle unbetreuten Flecken kann ich nicht übernehmen.. Herzlichen Dank!!"
7977,"Dieser Baumkranz (wie viele andere) ist permanent voller Littering! Ich würde endlich eine Kamera einrichten an solchen Orten! Littering kann ja gebüsst werden. Viel Geld käme für die Stadt/ERZ zusammen, wenn an ausgewählten Orten einige Kameras aufgestellt würden! Ich fahre täglich Dutzende Velokm im Kreis 5 & Wipkingen. Sie putzen sehr intensiv, ich weiss.. Aber als Mensch mit viel Herz, Sorgfalt & nachhaltigem Interesse ist die Situation immer wieder unerträglich! Kameras & saftige Bussen sind vielleicht hilfreich..?? Herzlichen Dank!"
7979,"Defektes Velo, es wurde schon mal gemeldet, da stand es auf der anderen Strassenseite."
7983,"Das Fahrrad (Rennrad, blau, Marke Bianchi) lag vor meinem Atelier unabgeschlossen und mir plattem Reifen am Strassenrand. Ich habe es in unseren Ständer gestellt, in der Hoffnung, dass es zu seinem rechtmässigen Besitzer zurückfindet. Können Sie das Velo abholen? Besten Dank und freundliche Grüsse"
7985,"Der ""zu verschenken"" Müll vermehrt sich. Samt Stromsparlampen(Sondermüll)."
7992,Illegale Abfallentsorgung
7999,Verunreinigungen durch Kartonschachteln und Bierdosen.
8000,"Abfallkübel defekt und vollgestopft, Abfall am Boden"
8002,"Im Teil der Strasse, welcher vom Verkehr umfahren werden muss, liegen Glasscherben verstreut. Dies ist vor allem für Velos welche gelegentlich diese Abkürzung nehmen, sowie für Passanten gefährlich /unangenehm."
8008,"Wilde Entsorgung, liegt seit Tagen beim Bahnhof Seebach rum..."
8010,Immer birchstrasse Seebach
8013,Seit Sonntag ist Karton Deponiert obwohl die Kartonsammlung erst in einer Woche ist.
